Event,Value,Key,KeyValue
EtwProviders,4096,EtwProviders_4096,ETW Provider - DWM found within the ETW Consumer component
EtwProviders,4.61169E+18,EtwProviders_4611686018427387904,ETW Provider - Object_Manager found within the ETW Consumer component
EtwProviders,512,EtwProviders_512,ETW Provider - Kernel_Audit found within the ETW Consumer component
EtwProviders,64,EtwProviders_64,ETW Provider - SMB_Client found within the ETW Consumer component
EtwProviders,8,EtwProviders_8,ETW Provider - Win32K found within the ETW Consumer component
EtwProviders,8192,EtwProviders_8192,ETW Provider - DotNet_RunTime found within the ETW Consumer component
EtwProviders,9.22337E+18,EtwProviders_9223372036854775808,ETW Provider - Cloud_Sourced found within the ETW Consumer component
ExclusionSource,1,ExclusionSource_1,PPDM_PROCESS_EXCLUSION
ExclusionSource,2,ExclusionSource_2,PPDM_TREE_EXCLUSION
ExclusionSource,4,ExclusionSource_4,LEGACY_SBDM_EXCLUSION
ExclusionSource,5,ExclusionSource_5,ALLOWED_BY_ENGINE
ExclusionSource,6,ExclusionSource_6,CUSTOMER_EXCLUSION
ExclusionType,1,ExclusionType_1,BEHAVIORAL_IOA
ExclusionType,2,ExclusionType_2,HASH_BASED_IOC
ExitCode,0,ExitCode_0,Success
ExitCode,1,ExitCode_1,Incorrect function.
ExitCode,10,ExitCode_10,Unit test error string
ExitCode,100,ExitCode_100,Cannot create another system semaphore.
ExitCode,10004,ExitCode_10004,A blocking operation was interrupted by a call to WSACancelBlockingCall.
ExitCode,10009,ExitCode_10009,The file handle supplied is not valid.
ExitCode,1001,ExitCode_1001,Recursion too deep; the stack overflowed.
ExitCode,10013,ExitCode_10013,An attempt was made to access a socket in a way forbidden by its access permissions.
ExitCode,10014,ExitCode_10014,The system detected an invalid pointer address in attempting to use a pointer argument in a call.
ExitCode,1002,ExitCode_1002,The window cannot act on the sent message.
ExitCode,10022,ExitCode_10022,An invalid argument was supplied.
ExitCode,10024,ExitCode_10024,Too many open sockets.
ExitCode,1003,ExitCode_1003,Cannot complete this function.
ExitCode,10035,ExitCode_10035,A non-blocking socket operation could not be completed immediately.
ExitCode,10036,ExitCode_10036,A blocking operation is currently executing.
ExitCode,10037,ExitCode_10037,An operation was attempted on a non-blocking socket that already had an operation in progress.
ExitCode,10038,ExitCode_10038,An operation was attempted on something that is not a socket.
ExitCode,10039,ExitCode_10039,A required address was omitted from an operation on a socket.
ExitCode,1004,ExitCode_1004,Invalid flags.
ExitCode,10040,ExitCode_10040,A message sent on a datagram socket was larger than the internal message buffer or some other network limit or the buffer used to receive a datagram into was smaller than the datagram itself.
ExitCode,10041,ExitCode_10041,A protocol was specified in the socket function call that does not support the semantics of the socket type requested.
ExitCode,10042,ExitCode_10042,An unknown invalid or unsupported option or level was specified in a getsockopt or setsockopt call.
ExitCode,10043,ExitCode_10043,The requested protocol has not been configured into the system or no implementation for it exists.
ExitCode,10044,ExitCode_10044,The support for the specified socket type does not exist in this address family.
ExitCode,10045,ExitCode_10045,The attempted operation is not supported for the type of object referenced.
ExitCode,10046,ExitCode_10046,The protocol family has not been configured into the system or no implementation for it exists.
ExitCode,10047,ExitCode_10047,An address incompatible with the requested protocol was used.
ExitCode,10048,ExitCode_10048,Only one usage of each socket address (protocol/network address/port) is normally permitted.
ExitCode,10049,ExitCode_10049,The requested address is not valid in its context.
ExitCode,1005,ExitCode_1005,The volume does not contain a recognized file system. Please make sure that all required file system drivers are loaded and that the volume is not corrupted.
ExitCode,10050,ExitCode_10050,A socket operation encountered a dead network.
ExitCode,10051,ExitCode_10051,A socket operation was attempted to an unreachable network.
ExitCode,10052,ExitCode_10052,The connection has been broken due to keep-alive activity detecting a failure while the operation was in progress.
ExitCode,10053,ExitCode_10053,An established connection was aborted by the software in your host machine.
ExitCode,10054,ExitCode_10054,An existing connection was forcibly closed by the remote host.
ExitCode,10055,ExitCode_10055,An operation on a socket could not be performed because the system lacked sufficient buffer space or because a queue was full.
ExitCode,10056,ExitCode_10056,A connect request was made on an already connected socket.
ExitCode,10057,ExitCode_10057,A request to send or receive data was disallowed because the socket is not connected and (when sending on a datagram socket using a sendto call) no address was supplied.
ExitCode,10058,ExitCode_10058,A request to send or receive data was disallowed because the socket had already been shut down in that direction with a previous shutdown call.
ExitCode,10059,ExitCode_10059,Too many references to some kernel object.
ExitCode,1006,ExitCode_1006,The volume for a file has been externally altered so that the opened file is no longer valid.
ExitCode,10060,ExitCode_10060,A connection attempt failed because the connected party did not properly respond after a period of time or established connection failed because connected host has failed to respond.
ExitCode,10061,ExitCode_10061,No connection could be made because the target machine actively refused it.
ExitCode,10062,ExitCode_10062,Cannot translate name.
ExitCode,10063,ExitCode_10063,Name component or name was too long.
ExitCode,10064,ExitCode_10064,A socket operation failed because the destination host was down.
ExitCode,10065,ExitCode_10065,A socket operation was attempted to an unreachable host.
ExitCode,10066,ExitCode_10066,Cannot remove a directory that is not empty.
ExitCode,10067,ExitCode_10067,A Windows Sockets implementation may have a limit on the number of applications that may use it simultaneously.
ExitCode,10068,ExitCode_10068,Ran out of quota.
ExitCode,10069,ExitCode_10069,Ran out of disk quota.
ExitCode,1007,ExitCode_1007,The requested operation cannot be performed in full-screen mode.
ExitCode,10070,ExitCode_10070,File handle reference is no longer available.
ExitCode,10071,ExitCode_10071,Item is not available locally.
ExitCode,1008,ExitCode_1008,An attempt was made to reference a token that does not exist.
ExitCode,1009,ExitCode_1009,The configuration registry database is corrupt.
ExitCode,10091,ExitCode_10091,WSAStartup cannot function at this time because the underlying system it uses to provide network services is currently unavailable.
ExitCode,10092,ExitCode_10092,The Windows Sockets version requested is not supported.
ExitCode,10093,ExitCode_10093,Either the application has not called WSAStartup or WSAStartup failed.
ExitCode,101,ExitCode_101,The exclusive semaphore is owned by another process.
ExitCode,1010,ExitCode_1010,The configuration registry key is invalid.
ExitCode,10101,ExitCode_10101,Returned by WSARecv or WSARecvFrom to indicate the remote party has initiated a graceful shutdown sequence.
ExitCode,10102,ExitCode_10102,No more results can be returned by WSALookupServiceNext.
ExitCode,10103,ExitCode_10103,A call to WSALookupServiceEnd was made while this call was still processing. The call has been canceled.
ExitCode,10104,ExitCode_10104,The procedure call table is invalid.
ExitCode,10105,ExitCode_10105,The requested service provider is invalid.
ExitCode,10106,ExitCode_10106,The requested service provider could not be loaded or initialized.
ExitCode,10107,ExitCode_10107,A system call has failed.
ExitCode,10108,ExitCode_10108,No such service is known. The service cannot be found in the specified name space.
ExitCode,10109,ExitCode_10109,The specified class was not found.
ExitCode,1011,ExitCode_1011,The configuration registry key could not be opened.
ExitCode,10110,ExitCode_10110,No more results can be returned by WSALookupServiceNext.
ExitCode,10111,ExitCode_10111,A call to WSALookupServiceEnd was made while this call was still processing. The call has been canceled.
ExitCode,10112,ExitCode_10112,A database query failed because it was actively refused.
ExitCode,1012,ExitCode_1012,The configuration registry key could not be read.
ExitCode,1013,ExitCode_1013,The configuration registry key could not be written.
ExitCode,1014,ExitCode_1014,One of the files in the registry database had to be recovered by use of a log or alternate copy. The recovery was successful.
ExitCode,1015,ExitCode_1015,The registry is corrupted. The structure of one of the files containing registry data is corrupted or the system's memory image of the file is corrupted or the file could not be recovered because the alternate copy or log was absent or corrupted.
ExitCode,1016,ExitCode_1016,An I/O operation initiated by the registry failed unrecoverably. The registry could not read in or write out or flush one of the files that contain the system's image of the registry.
ExitCode,1017,ExitCode_1017,The system has attempted to load or restore a file into the registry but the specified file is not in a registry file format.
ExitCode,1018,ExitCode_1018,Illegal operation attempted on a registry key that has been marked for deletion.
ExitCode,1019,ExitCode_1019,System could not allocate the required space in a registry log.
ExitCode,102,ExitCode_102,The semaphore is set and cannot be closed.
ExitCode,1020,ExitCode_1020,Cannot create a symbolic link in a registry key that already has subkeys or values.
ExitCode,1021,ExitCode_1021,Cannot create a stable subkey under a volatile parent key.
ExitCode,1022,ExitCode_1022,A notify change request is being completed and the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes.
ExitCode,103,ExitCode_103,The semaphore cannot be set again.
ExitCode,104,ExitCode_104,Cannot request exclusive semaphores at interrupt time.
ExitCode,105,ExitCode_105,The previous ownership of this semaphore has ended.
ExitCode,1051,ExitCode_1051,A stop control has been sent to a service that other running services are dependent on.
ExitCode,1052,ExitCode_1052,The requested control is not valid for this service.
ExitCode,1053,ExitCode_1053,The service did not respond to the start or control request in a timely fashion.
ExitCode,1054,ExitCode_1054,A thread could not be created for the service.
ExitCode,1055,ExitCode_1055,The service database is locked.
ExitCode,1056,ExitCode_1056,An instance of the service is already running.
ExitCode,1057,ExitCode_1057,The account name is invalid or does not exist or the password is invalid for the account name specified.
ExitCode,1058,ExitCode_1058,The service cannot be started either because it is disabled or because it has no enabled devices associated with it.
ExitCode,1059,ExitCode_1059,Circular service dependency was specified.
ExitCode,106,ExitCode_106,Insert the diskette for drive %1.
ExitCode,1060,ExitCode_1060,The specified service does not exist as an installed service.
ExitCode,1061,ExitCode_1061,The service cannot accept control messages at this time.
ExitCode,1062,ExitCode_1062,The service has not been started.
ExitCode,1063,ExitCode_1063,The service process could not connect to the service controller.
ExitCode,1064,ExitCode_1064,An exception occurred in the service when handling the control request.
ExitCode,1065,ExitCode_1065,The database specified does not exist.
ExitCode,1066,ExitCode_1066,The service has returned a service-specific error code.
